Unnamed: 0,Date,Stock,Open,High,Low,Close,Volume,Daily_Return,Volatility_10,Volatility_20,SMA_10,SMA_20,std_10,std_20,Upper_BB_10,Lower_BB_10,Upper_BB_20,Lower_BB_20,Direction,topic_-1_negative,topic_-1_neutral,topic_-1_positive,topic_0_negative,topic_0_neutral,topic_0_positive,topic_1_negative,topic_1_neutral,topic_1_positive,topic_2_negative,topic_2_neutral,topic_2_positive,topic_3_negative,topic_3_neutral,topic_3_positive,topic_4_negative,topic_4_neutral,topic_4_positive,topic_5_negative,topic_5_neutral,topic_5_positive,topic_6_negative,topic_6_neutral,topic_6_positive,topic_7_negative,topic_7_neutral,topic_7_positive,topic_8_negative,topic_8_neutral,topic_8_positive,topic_-1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
11545,0,GS,562.2121746,568.8194261,559.0279519,567.9636841,1519500,0.008267224,0.018734033,0.013431033,572.8404724,585.123468,15.08914282,16.48195651,603.0187581,542.6621868,618.087381,552.159555,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11546,0,IBM,221.3354236,222.2592767,219.6168771,220.4612427,2988100,-0.006402272,0.014783609,0.015053333,225.7559753,227.2142609,4.417747134,4.326749042,234.5914696,216.9204811,235.8677589,218.5607628,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11547,0,INTC,19.57999992,20.22999954,19.52000046,20.20000076,57988400,0.03483608,0.030607407,0.028831457,20.07500019,21.41299992,0.599467664,1.787874581,21.27393552,18.87606486,24.98874908,17.83725075,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11548,0,JNJ,143.4814922,144.1759304,142.3108547,144.1164093,8720800,0.005537539,0.011428673,0.009174807,144.5489395,147.945253,1.669995182,4.069614443,147.8889299,141.2089491,156.0844819,139.8060241,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11549,0,JPM,234.8570589,237.3939446,233.6731708,237.1651306,8611500,0.003324888,0.014035978,0.011208392,237.2865021,241.5529663,4.120115004,5.533624002,245.5267321,229.0462721,252.6202143,230.4857183,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11550,0,KO,62.04215837,62.30025208,61.07926286,61.92303848,13010800,-0.002717763,0.010155052,0.0092548,62.40845451,62.64294796,0.463305828,0.628169716,63.33506617,61.48184286,63.89928739,61.38660853,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11551,0,LLY,783.8191026,797.9846912,771.7399449,794.9100342,3622300,0.037147045,0.016806762,0.017934103,779.7551331,790.5240692,14.4010621,21.5812599,808.5572573,750.9530089,833.686589,747.3615494,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11552,0,MA,525.056181,528.6209345,520.3630855,528.1815796,2270300,0.001761299,0.00974118,0.008766657,527.8640137,527.3058319,4.225739199,4.034635727,536.3154921,519.4125353,535.3751034,519.2365605,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11553,0,MCD,290.5822612,291.4174355,288.0667861,289.6178284,2492200,-0.004749209,0.008034024,0.008913194,293.1981537,293.6690613,3.416938371,3.151674713,300.0320304,286.3642769,299.9724107,287.3657119,Down,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11554,0,META,589.0758836,600.5557215,585.7288858,599.3167725,10205800,0.024946523,0.018632705,0.018579419,611.7220276,602.7921143,16.33622502,21.15148919,644.3944776,579.0495776,645.0950926,560.4891359,Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
